Yeargroup,Student Ref,Admission Year,Program,Semester/Year,Academic Year,Student Status,Gender,Nationality,Application Category,GPA,CGPA
2017,Sb01f8b2a9888be6f,2013-2014,B.Sc - Management Information Systems,Semester 1,2015-2016,Active,Male,Country0,Unknown,3.63,3.26
2017,Sb01f8b2a9888be6f,2013-2014,B.Sc - Management Information Systems,Semester 2,2015-2016,Active,Male,Country0,Unknown,2.7,3.15
2017,S87f7615365ccf796,2013-2014,B.Sc - Computer Science,Semester 1,2015-2016,Active,Male,Country0,Unknown,3.6,3.66
2017,S87f7615365ccf796,2013-2014,B.Sc - Computer Science,Semester 2,2015-2016,Active,Male,Country0,Unknown,3.4,3.61
2018,Sfea019092a0d1158,2014-2015,B.Sc - Business Administration,Semester 1,2015-2016,Graduated,Female,Country1,Unknown,3.45,3.11
2018,Sfea019092a0d1158,2014-2015,B.Sc - Business Administration,Semester 2,2015-2016,Graduated,Female,Country1,Unknown,2.86,3.04
2017,Sce8b337ef92fbbc2,2013-2014,B.Sc - Business Administration,Semester 1,2015-2016,Active,Male,Country0,Unknown,3.88,3.79
2017,Sce8b337ef92fbbc2,2013-2014,B.Sc - Business Administration,Semester 2,2015-2016,Active,Male,Country0,Unknown,3.5,3.75
2019,Sc1a0778f74830c43,2015-2016,B.Sc - Computer Science,Semester 1,2015-2016,Graduated,Male,Country2,Unknown,3.5,3.5
2019,Sc1a0778f74830c43,2015-2016,B.Sc - Computer Science,Semester 2,2015-2016,Graduated,Male,Country2,Unknown,3.39,3.44
2019,Sc1a0778f74830c43,2015-2016,B.Sc - Computer Science,Semester 3,2015-2016,Graduated,Male,Country2,Unknown,3.0,3.39
2016,S6b1edb8adfcb6f6a,2012-2013,B.Sc - Business Administration,Semester 1,2015-2016,Active,Male,Country0,Unknown,3.88,3.21
2016,S6b1edb8adfcb6f6a,2012-2013,B.Sc - Business Administration,Semester 2,2015-2016,Active,Male,Country0,Unknown,3.33,3.28
2016,S1765c05303261762,2012-2013,B.Sc - Business Administration,Semester 1,2015-2016,Active,Male,Country0,Unknown,3.25,3.11
2016,S1765c05303261762,2012-2013,B.Sc - Business Administration,Semester 2,2015-2016,Active,Male,Country0,Unknown,3.5,3.15
2016,Sa5b1b5f431934dbb,2012-2013,B.Sc - Business Administration,Semester 1,2015-2016,Active,Male,Country0,Unknown,3.38,2.85
